; Diagram data of sequence 'DspData' [c:/Temp/]

; Time Settings:
; Start Time = 48234380  SRT
; End Time = 48260890  SRT
; Time Step = 10 SRT


;   RF-Signal Data (297.2 MHz)	              ADC Signal Data	                   X Gradient	                   Y Gradient	                   Z Gradient	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
                 -0.0000000000	                  0.0000000000	                 -0.0000000000	                  0.0000000000	                 -0.0000000000	
